sub,n,ROI,region,conscious_state_source,conscious_state_target,ROC AUC,Effect size,Confidence interval,p value,Corrected p value,x_order
sub-04,2256,Parahippocampal gyrus,Visual,unconscious,unconscious,0.52 $\pm$ 0.19,0.09165647966861111,"[0.510,0.526]",9.99990000099999e-06,0.001079989200107999,5
sub-04,2256,Precuneus,Visual,unconscious,unconscious,0.45 $\pm$ 0.18,-0.27440902009965884,"[0.442,0.457]",1.0,1.0,6
sub-04,2256,Inferior parietal lobe,Visual,unconscious,unconscious,0.56 $\pm$ 0.20,0.3303846611846635,"[0.557,0.573]",9.99990000099999e-06,0.001079989200107999,8
sub-04,1066,Superior parietal gyrus,Working Memory,conscious,conscious,0.59 $\pm$ 0.28,0.3400744755148553,"[0.578,0.611]",9.99990000099999e-06,0.001079989200107999,7
sub-04,1066,Superior frontal gyrus,Working Memory,conscious,conscious,0.52 $\pm$ 0.28,0.06355157886457509,"[0.501,0.534]",0.0183598164018359,1.0,9
sub-04,1066,Middle fontal gyrus,Working Memory,conscious,conscious,0.44 $\pm$ 0.28,-0.2023807130427492,"[0.427,0.460]",1.0,1.0,10
sub-04,1066,Inferior frontal gyrus,Working Memory,conscious,conscious,0.54 $\pm$ 0.26,0.13636677370322065,"[0.520,0.552]",9.99990000099999e-06,0.001079989200107999,11
sub-04,2256,Superior parietal gyrus,Working Memory,conscious,unconscious,0.52 $\pm$ 0.18,0.09902623656794353,"[0.511,0.526]",9.99990000099999e-06,0.001079989200107999,7
sub-04,2256,Superior frontal gyrus,Working Memory,conscious,unconscious,0.47 $\pm$ 0.20,-0.13298518061836193,"[0.465,0.482]",1.0,1.0,9
sub-04,2256,Middle fontal gyrus,Working Memory,conscious,unconscious,0.54 $\pm$ 0.19,0.2125698160960073,"[0.532,0.547]",9.99990000099999e-06,0.001079989200107999,10
sub-04,2256,Inferior frontal gyrus,Working Memory,conscious,unconscious,0.49 $\pm$ 0.17,-0.03127135999965767,"[0.488,0.502]",0.932120678793212,1.0,11
sub-04,2256,Superior parietal gyrus,Working Memory,unconscious,unconscious,0.50 $\pm$ 0.20,0.01648882835106165,"[0.495,0.512]",0.2113778862211378,1.0,7
sub-04,2256,Superior frontal gyrus,Working Memory,unconscious,unconscious,0.50 $\pm$ 0.18,-0.01466316997183287,"[0.490,0.505]",0.7560824391756082,1.0,9
sub-04,2256,Middle fontal gyrus,Working Memory,unconscious,unconscious,0.49 $\pm$ 0.20,-0.032569133430430726,"[0.485,0.502]",0.940110598894011,1.0,10
sub-04,2256,Inferior frontal gyrus,Working Memory,unconscious,unconscious,0.53 $\pm$ 0.17,0.17879962395595175,"[0.523,0.537]",9.99990000099999e-06,0.001079989200107999,11
sub-05,1978,Pericalcarine cortex,Visual,conscious,conscious,0.50 $\pm$ 0.25,-0.011906905937847208,"[0.486,0.508]",0.6961930380696193,1.0,0
sub-05,1978,Lingual,Visual,conscious,conscious,0.61 $\pm$ 0.20,0.5291601593954753,"[0.598,0.616]",9.99990000099999e-06,0.001079989200107999,1
sub-05,1978,Lateral occipital cortex,Visual,conscious,conscious,0.83 $\pm$ 0.16,2.0072570109678978,"[0.821,0.836]",9.99990000099999e-06,0.001079989200107999,2
sub-05,1978,Fusiform gyrus,Visual,conscious,conscious,0.84 $\pm$ 0.22,1.5409202029213678,"[0.828,0.847]",9.99990000099999e-06,0.001079989200107999,3
sub-05,1978,Inferior temporal lobe,Visual,conscious,conscious,0.65 $\pm$ 0.25,0.5874504277919392,"[0.634,0.656]",9.99990000099999e-06,0.001079989200107999,4
sub-05,1978,Parahippocampal gyrus,Visual,conscious,conscious,0.74 $\pm$ 0.24,0.9899087338887883,"[0.729,0.751]",9.99990000099999e-06,0.001079989200107999,5
sub-05,1978,Precuneus,Visual,conscious,conscious,0.60 $\pm$ 0.23,0.4201466418929871,"[0.586,0.606]",9.99990000099999e-06,0.001079989200107999,6
