response,rt_response,visibility,rt_visibility,correct_answer,category,subcategory,label,response_previous,rt_response_previous,visibility_previous,rt_visibility_previous,correct_answer_previous,category_previous,subcategory_previous,label_previous,sub,session,block
2,0.3903241753578186,1,0.3103147149085998,1.0,Living_Things,Animals,cat,1,0.5503109693527222,2,0.3603591918945312,0.0,Living_Things,Marine_creatures,crab,sub-01,1,3
1,0.6103349924087524,3,0.3303160965442657,1.0,Living_Things,Birds,toucan,2,0.3903241753578186,1,0.3103147149085998,1.0,Living_Things,Animals,cat,sub-01,1,3
2,0.5603207349777222,2,0.3003840148448944,1.0,Nonliving_Things,Buildings,granary,1,0.6103349924087524,3,0.3303160965442657,1.0,Living_Things,Birds,toucan,sub-01,1,3
1,0.5203388333320618,1,0.4403419494628906,1.0,Nonliving_Things,Buildings,palace,2,0.5603207349777222,2,0.3003840148448944,1.0,Nonliving_Things,Buildings,granary,sub-01,1,3
2,0.5702635645866394,3,0.3003351390361786,1.0,Living_Things,Insects,dragonfly,1,0.5203388333320618,1,0.4403419494628906,1.0,Nonliving_Things,Buildings,palace,sub-01,1,3
2,0.4703299105167389,2,0.3303142488002777,1.0,Living_Things,Marine_creatures,dolphin,2,0.5702635645866394,3,0.3003351390361786,1.0,Living_Things,Insects,dragonfly,sub-01,1,3
2,0.3303065598011017,1,0.3103533089160919,1.0,Nonliving_Things,Furniture,table,1,0.9103272557258606,2,1.010303020477295,0.0,Living_Things,Animals,hippopotamus,sub-01,2,1
1,0.6003574132919312,2,0.2702768743038177,1.0,Living_Things,Birds,hummingbird,2,0.3303065598011017,1,0.3103533089160919,1.0,Nonliving_Things,Furniture,table,sub-01,2,1
2,0.320311963558197,1,0.3003516495227813,0.0,Living_Things,Marine_creatures,pomfret,1,0.6003574132919312,2,0.2702768743038177,1.0,Living_Things,Birds,hummingbird,sub-01,2,1
1,0.5403203964233398,3,0.2803503274917602,1.0,Living_Things,Birds,kiwi,2,0.320311963558197,1,0.3003516495227813,0.0,Living_Things,Marine_creatures,pomfret,sub-01,2,1
1,0.3503621816635132,1,0.3703503310680389,1.0,Living_Things,Birds,rooster,1,0.5403203964233398,3,0.2803503274917602,1.0,Living_Things,Birds,kiwi,sub-01,2,1
1,0.7103118300437927,2,0.4603163003921509,1.0,Living_Things,Marine_creatures,lobster,1,0.3503621816635132,1,0.3703503310680389,1.0,Living_Things,Birds,rooster,sub-01,2,1
1,0.7503417730331421,1,0.6101031303405762,1.0,Nonliving_Things,Musical_Inst,violin,1,0.7103118300437927,2,0.4603163003921509,1.0,Living_Things,Marine_creatures,lobster,sub-01,2,1
2,0.4002779126167297,3,0.3803150355815887,1.0,Living_Things,Animals,zebra,1,0.7503417730331421,1,0.6101031303405762,1.0,Nonliving_Things,Musical_Inst,violin,sub-01,2,1
2,0.3002841472625732,1,0.4902647137641907,1.0,Living_Things,Birds,goose,2,0.4002779126167297,3,0.3803150355815887,1.0,Living_Things,Animals,zebra,sub-01,2,1
1,0.5903205871582031,3,0.3701844811439514,1.0,Nonliving_Things,Musical_Inst,tuba,2,0.3002841472625732,1,0.4902647137641907,1.0,Living_Things,Birds,goose,sub-01,2,1
2,0.2902949154376983,1,0.3203139305114746,0.0,Nonliving_Things,Kitchen_Uten,saucepan,1,0.5903205871582031,3,0.3701844811439514,1.0,Nonliving_Things,Musical_Inst,tuba,sub-01,2,1
2,0.2803120613098144,1,0.4403127133846283,1.0,Nonliving_Things,Kitchen_Uten,small-saucepan,2,0.2902949154376983,1,0.3203139305114746,0.0,Nonliving_Things,Kitchen_Uten,saucepan,sub-01,2,1
2,0.5603117942810059,3,0.2303193211555481,1.0,Nonliving_Things,Furniture,rocking-chair,2,0.2803120613098144,1,0.4403127133846283,1.0,Nonliving_Things,Kitchen_Uten,small-saucepan,sub-01,2,1
2,0.3102695345878601,1,0.3401007652282715,0.0,Living_Things,Marine_creatures,whale,2,0.5603117942810059,3,0.2303193211555481,1.0,Nonliving_Things,Furniture,rocking-chair,sub-01,2,1
1,0.7102630138397217,3,0.3001896142959595,1.0,Nonliving_Things,Kitchen_Uten,teapot,2,0.3102695345878601,1,0.3401007652282715,0.0,Living_Things,Marine_creatures,whale,sub-01,2,1
2,0.3403761684894562,1,0.3103170692920685,0.0,Nonliving_Things,Vehicles,train,1,0.7102630138397217,3,0.3001896142959595,1.0,Nonliving_Things,Kitchen_Uten,teapot,sub-01,2,1
2,0.4603942334651947,2,0.2903765738010406,1.0,Nonliving_Things,Musical_Inst,saxophone,2,0.3403761684894562,1,0.3103170692920685,0.0,Nonliving_Things,Vehicles,train,sub-01,2,1
1,0.5703387260437012,3,0.320354014635086,1.0,Nonliving_Things,Furniture,wardrobe,2,0.4603942334651947,2,0.2903765738010406,1.0,Nonliving_Things,Musical_Inst,saxophone,sub-01,2,1
1,0.3902975022792816,1,0.2603145241737366,0.0,Living_Things,Animals,giraffe,1,0.5703387260437012,3,0.320354014635086,1.0,Nonliving_Things,Furniture,wardrobe,sub-01,2,1
1,0.560302197933197,3,0.3003249764442444,1.0,Nonliving_Things,Vehicles,ship,1,0.3902975022792816,1,0.2603145241737366,0.0,Living_Things,Animals,giraffe,sub-01,2,1
